Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate
41,Yes,Travel_Rarely,Travel_Rarely,Sales,1,2,Life Sciences,1,1,2,Female,94
49,No,Travel_Frequently,Travel_Rarely,Research & Development,8,1,Life Sciences,1,2,3,Male,61
37,Yes,Travel_Rarely,Travel_Rarely,Research & Development,2,2,Other,1,4,4,Male,92
33,No,Travel_Frequently,Travel_Rarely,Research & Development,3,4,Life Sciences,1,5,4,Female,56
27,No,Travel_Rarely,Travel_Rarely,Research & Development,2,1,Medical,1,7,1,Male,40
32,No,Travel_Frequently,Travel_Rarely,Research & Development,2,2,Life Sciences,1,8,4,Male,79
59,No,Travel_Rarely,Travel_Rarely,Research & Development,3,3,Medical,1,10,3,Female,81
30,No,Travel_Rarely,Travel_Rarely,Research & Development,24,1,Life Sciences,1,11,4,Male,67
38,No,Travel_Frequently,Travel_Rarely,Research & Development,23,3,Life Sciences,1,12,4,Male,44
36,No,Travel_Rarely,Travel_Rarely,Research & Development,27,3,Medical,1,13,3,Male,94
35,No,Travel_Rarely,Travel_Rarely,Research & Development,16,3,Medical,1,14,1,Male,84
29,No,Travel_Rarely,Travel_Rarely,Research & Development,15,2,Life Sciences,1,15,4,Female,49
31,No,Travel_Rarely,Travel_Rarely,Research & Development,26,1,Life Sciences,1,16,1,Male,31
34,No,Travel_Rarely,Travel_Rarely,Research & Development,19,2,Medical,1,18,2,Male,93
28,Yes,Travel_Rarely,Travel_Rarely,Research & Development,24,3,Life Sciences,1,19,3,Male,50
29,No,Travel_Rarely,Travel_Rarely,Research & Development,21,4,Life Sciences,1,20,2,Female,51
32,No,Travel_Rarely,Travel_Rarely,Research & Development,5,2,Life Sciences,1,21,1,Male,80
22,No,Non-Travel,Travel_Rarely,Research & Development,16,2,Medical,1,22,4,Male,96
53,No,Travel_Rarely,Travel_Rarely,Sales,2,4,Life Sciences,1,23,1,Female,78
38,No,Travel_Rarely,Travel_Rarely,Research & Development,2,3,Life Sciences,1,24,4,Male,45
24,No,Non-Travel,Travel_Rarely,Research & Development,11,2,Other,1,26,1,Female,96
36,Yes,Travel_Rarely,Travel_Rarely,Sales,9,4,Life Sciences,1,27,3,Male,82
34,No,Travel_Rarely,Travel_Rarely,Research & Development,7,4,Life Sciences,1,28,1,Female,53
21,No,Travel_Rarely,Travel_Rarely,Research & Development,15,2,Life Sciences,1,30,3,Male,96
34,Yes,Travel_Rarely,Travel_Rarely,Research & Development,6,1,Medical,1,31,2,Male,83
53,No,Travel_Rarely,Travel_Rarely,Research & Development,5,3,Other,1,32,3,Female,58
32,Yes,Travel_Frequently,Travel_Rarely,Research & Development,16,1,Life Sciences,1,33,2,Female,72
42,No,Travel_Rarely,Travel_Rarely,Sales,8,4,Marketing,1,35,3,Male,48
44,No,Travel_Rarely,Travel_Rarely,Research & Development,7,4,Medical,1,36,1,Female,42
46,No,Travel_Rarely,Travel_Rarely,Sales,2,4,Marketing,1,38,2,Female,83
33,No,Travel_Rarely,Travel_Rarely,Research & Development,2,3,Medical,1,39,3,Male,78
44,No,Travel_Rarely,Travel_Rarely,Research & Development,10,4,Other,1,40,4,Male,41
30,No,Travel_Rarely,Travel_Rarely,Research & Development,9,2,Medical,1,41,4,Male,83
39,Yes,Travel_Rarely,Travel_Rarely,Sales,5,3,Technical Degree,1,42,4,Male,56
24,Yes,Travel_Rarely,Travel_Rarely,Research & Development,1,3,Medical,1,45,2,Male,61
43,No,Travel_Rarely,Travel_Rarely,Research & Development,2,2,Medical,1,46,4,Female,72
50,Yes,Travel_Rarely,Travel_Rarely,Sales,3,2,Marketing,1,47,1,Male,86
35,No,Travel_Rarely,Travel_Rarely,Sales,2,3,Marketing,1,49,4,Female,97
36,No,Travel_Rarely,Travel_Rarely,Research & Development,5,4,Life Sciences,1,51,2,Female,82
33,No,Travel_Frequently,Travel_Rarely,Sales,1,3,Life Sciences,1,52,3,Female,42
35,No,Travel_Rarely,Travel_Rarely,Research & Development,4,2,Other,1,53,3,Male,75
27,No,Travel_Rarely,Travel_Rarely,Research & Development,2,4,Life Sciences,1,54,4,Female,33
26,Yes,Travel_Rarely,Travel_Rarely,Research & Development,25,3,Life Sciences,1,55,1,Male,48
27,No,Travel_Frequently,Travel_Rarely,Sales,8,3,Life Sciences,1,56,4,Male,37
30,No,Travel_Frequently,Travel_Rarely,Research & Development,1,2,Medical,1,57,3,Female,58
41,Yes,Travel_Rarely,Travel_Rarely,Research & Development,12,3,Technical Degree,1,58,2,Female,49
34,No,Non-Travel,Travel_Rarely,Sales,23,4,Marketing,1,60,2,Male,72
37,No,Travel_Rarely,Travel_Rarely,Research & Development,19,2,Life Sciences,1,61,2,Male,73
46,No,Travel_Frequently,Travel_Rarely,Sales,5,4,Marketing,1,62,1,Male,98
35,No,Travel_Rarely,Travel_Rarely,Research & Development,8,1,Life Sciences,1,63,4,Male,36
48,Yes,Travel_Rarely,Travel_Rarely,Research & Development,1,2,Life Sciences,1,64,1,Male,98
28,Yes,Travel_Rarely,Travel_Rarely,Research & Development,5,4,Technical Degree,1,65,3,Male,50
44,No,Travel_Rarely,Travel_Rarely,Sales,1,5,Marketing,1,68,2,Female,75
35,No,Non-Travel,Travel_Rarely,Research & Development,11,2,Medical,1,70,3,Male,79
26,No,Travel_Rarely,Travel_Rarely,Sales,23,3,Marketing,1,72,3,Female,47
33,No,Travel_Frequently,Travel_Rarely,Research & Development,1,2,Life Sciences,1,73,1,Female,98
35,No,Travel_Frequently,Travel_Rarely,Sales,18,5,Life Sciences,1,74,2,Male,71
35,No,Travel_Rarely,Travel_Rarely,Research & Development,23,4,Medical,1,75,3,Female,30
31,No,Travel_Rarely,Travel_Rarely,Research & Development,7,4,Life Sciences,1,76,4,Male,48
37,No,Travel_Rarely,Travel_Rarely,Research & Development,1,4,Life Sciences,1,77,1,Male,51
32,No,Travel_Rarely,Travel_Rarely,Research & Development,1,3,Medical,1,78,1,Male,33
38,No,Travel_Frequently,Travel_Rarely,Research & Development,29,5,Life Sciences,1,79,4,Female,50
50,No,Travel_Rarely,Travel_Rarely,Research & Development,7,2,Medical,1,80,2,Female,43
59,No,Travel_Rarely,Travel_Rarely,Sales,25,3,Life Sciences,1,81,1,Female,99
36,No,Travel_Rarely,Travel_Rarely,Research & Development,8,3,Technical Degree,1,83,3,Female,59
55,No,Travel_Rarely,Travel_Rarely,Research & Development,8,3,Medical,1,84,4,Female,33
36,No,Travel_Frequently,Travel_Rarely,Research & Development,11,3,Life Sciences,1,85,2,Male,95
45,No,Travel_Rarely,Travel_Rarely,Research & Development,7,3,Life Sciences,1,86,2,Male,59
35,No,Travel_Frequently,Travel_Rarely,Research & Development,1,3,Medical,1,88,2,Male,79
36,Yes,Travel_Rarely,Travel_Rarely,Research & Development,9,3,Medical,1,90,4,Male,79
59,No,Travel_Frequently,Travel_Rarely,Sales,1,1,Life Sciences,1,91,1,Female,57
