Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,ANOTHER_CATEGORICAL_COLUMN,ANNUAL CTC,ANNUAL SALES 
41,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,YES,188000,187934
49,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,NO,122000,121934
37,1,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,CANTSAY,184000,183934
33,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,MAYBE,112000,111934
27,0,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,YES,80000,79934
32,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,NO,158000,157934
59,0,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,CANTSAY,162000,161934
30,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,MAYBE,134000,133934
38,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,YES,88000,87934
36,0,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,NO,188000,187934
35,0,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,CANTSAY,168000,167934
29,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,MAYBE,98000,97934
31,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,YES,62000,61934
34,0,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,NO,186000,185934
28,1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,CANTSAY,100000,99934
29,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,MAYBE,102000,101934
32,0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,YES,160000,159934
22,0,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,NO,192000,191934
53,0,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,CANTSAY,156000,155934
38,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,MAYBE,90000,89934
24,0,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,YES,192000,191934
36,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,NO,164000,163934
34,0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,CANTSAY,106000,105934
21,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,MAYBE,192000,191934
34,1,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,YES,166000,165934
53,0,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,NO,116000,115934
32,1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,CANTSAY,144000,143934
42,0,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,MAYBE,96000,95934
44,0,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,YES,84000,83934
46,0,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,NO,166000,165934
33,0,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,CANTSAY,156000,155934
44,0,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,MAYBE,82000,81934
30,0,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,YES,166000,165934
39,1,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,NO,112000,111934
24,1,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,CANTSAY,122000,121934
43,0,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,MAYBE,144000,143934
50,1,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,YES,172000,171934
35,0,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,NO,194000,193934
36,0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,CANTSAY,164000,163934
33,0,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,MAYBE,84000,83934
35,0,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,YES,150000,149934
27,0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,NO,66000,65934
26,1,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,CANTSAY,96000,95934
27,0,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,MAYBE,74000,73934
