SEGMENTS,HEIGHT
CAT_C,6
CAT_A,3
CAT_B,222
CAT_B,5
CAT_C,5.5
CAT_A,2.5
CAT_B,3
CAT_B,5.8
CAT_C,7
CAT_A,77
CAT_B,4
CAT_B,5.6
CAT_C,6.5
CAT_A,66
CAT_B,4.4
CAT_B,555
CAT_C,5.92
CAT_A,3.6
CAT_B,4.1
CAT_B,5.2
CAT_C,6.2
CAT_A,67
CAT_B,4.334
CAT_B,5.378
CAT_C,57
CAT_A,7.5566
CAT_B,8.5566
CAT_B,9.5566
CAT_C,10.0566
CAT_A,7.0566
CAT_B,7.5566
CAT_B,10.3566
CAT_C,11.5566
CAT_A,8.5566
CAT_B,8.5566
CAT_B,10.1566
CAT_C,56
CAT_A,7.0566
CAT_B,33
CAT_B,9.7566
CAT_C,10.4766
CAT_A,8.1566
CAT_B,8.6566
CAT_B,9.7566
CAT_C,10.7566
CAT_A,7.7566
CAT_B,8.8906
CAT_B,9.9346
CAT_C,55
CAT_A,8.1566
CAT_B,11
CAT_B,9.7566
CAT_C,11
CAT_A,7.7566
CAT_B,11
CAT_B,9.9346
